,EEG Filename,Video Filename,Dataset,Test Number,Condition,DST (out of 21) # of Correct Answers,BT (out of 4) # of Correct Answers,1st Mental Fatigue,1st Stress,ST # of Correct Answers,PST # of Correct Answers,VMT (out of 22) # of Correct Answers,2nd Mental Fatigue,2nd Stress,Overall ,Accuracy,Start Time,Timepoints for Incorrect Answers,Duration,ST out of (Total trials),PST out of (Total trials),DST (7) [Longest sequence correct],VMT (7) [Longest sequence correct],Overall (vary),Accuracy,Person in Charge,Completed
11,,,,,Wide,16,4,2,2,28,4,22,10,2,74,0.925,"DST: 18:32
BT: 19:31
ST: 35:07
PST: 35:45
VMT: 36:06","DST: 19:03, 19:04, 19:05, 19:21, 19:24
BT: NA
ST: NA
PST: NA
VMT: NA","DST: 53
BT: 25
ST: 27
PST: 15
VMT: 21",28,4,5,7,48,0.96,Jasmine,Completed
11,,,,,Bar,15,4,2,2,23,4,22,2,2,68,0.894736842,"DST: 23:20
BT: 24:14
ST: 33:36
PST: 34:12
VMT: 34:34","DST: 23:52, 24:03, 24:04, 24:05, 24:06
BT: NA
ST: NA
PST: 34:23
VMT: NA","DST: 48
BT: 27
ST: 25
PST: 25
VMT: 21",23,5,5,7,43,0.934782609,Jasmine,Completed
12,,,,,One,20,4,2,1,28,3,22,1,1,77,0.974683544,"DST: 23:07
BT: 24:10
ST: 43:22
PST: 43:59
VMT: 44:21","DST: 23:52, 24:02
BT:
ST:
PST:
VMT:","DST: 56
BT: 20
ST: 25
PST: 15
VMT: 26",28,3,5,7,47,0.959183674,Elita,Completed
12,,,,,Two,16,4,4,1,27,5,21,N/A,7,73,0.9125,"DST: 26:36
BT: 27:48
ST: 29:30
PST: 30:07
VMT: 30:29","DST: 26:59, 27:02, 27:29, 27:35, 27:37, 27:41
BT:
ST:
PST:
VMT: 30:48","DST: 66
BT: 19
ST: 27
PST: 15
VMT: 30",27,5,4,7,47,0.94,Elita,Completed
12,,,,,Blue,16,4,2,3,23,4,22,6,1,69,0.92,"DST: 13:52
BT: 15:04
ST: 34:46
PST: 35:24
VMT: 35:46","DST: 14:15, 14:16, 14:26, 14:36, 14:47, 14:56
BT:
ST:
PST:
VMT:","DST: 66
BT: 28
ST: 27
PST: 16
VMT: 28",23,4,4,7,42,0.933333333,Elita,Completed
12,,,,,Red,19,4,2,3,10,3,22,3,1,58,0.90625,"DST: 11:50
BT: 13:05
ST: 31:22
PST: 31:59
VMT: 32:21","DST: 12:26, 12:30, 12:42
BT:
ST: 31:28, 31:36, 31:40
PST:
VMT:","DST: 68
BT: 27
ST: 27
PST: 16
VMT: 31",13,3,5,7,29,0.852941177,Elita,Completed
12,,,,,Teach,19,4,2,2,18,4,22,2,1,67,0.917808219,"DST: 17:36
BT: 18:43
ST: 38:11
PST: 38:48
VMT: 39:09","DST: 18:15, 18:29, 18:36
BT:
ST: 38:15, 38:21, 38:29
PST:
VMT:","DST: 61
BT: 31
ST: 26
PST: 15
VMT: 28",21,4,5,7,38,0.88372093,Elita,Completed
12,,,,,Narrow,16,3,4,1,24,4,22,2,1,69,0.896103896,"DST: 21:20
BT: 22:25
ST: 33:06
PST: 33:43
VMT: 34:05","DST: 21:37, 21:56, 22:08, 22:15, 22:16
BT: 22:42
ST: 33:28
PST:
VMT:","DST: 58
BT: 24
ST: 27
PST: 15
VMT: 30",25,4,5,7,43,0.914893617,Elita,Completed
12,,,,,Green,20,4,1,1,15,5,21,1,1,65,0.890410959,"DST: 15:49
BT: 16:50
ST: 36:27
PST: 37:04
VMT: 37:26","DST: 16:32, 16:43
BT:
ST: 36:37, 36:40, 36:51, 36:52, 36:53
PST:
VMT: 37:53","DST: 55
BT: 28
ST: 27
PST: 15
VMT: 30",20,5,5,7,36,0.837209302,Elita,Completed
12,,,,,Wide,17,4,3,2,20,2,20,10,1,63,0.9,"DST: 19:33
BT: 20:39
ST: 39:48
PST: 40:25
VMT: 40:47","DST: 19:53, 19:54, 19:55, 20:23, 20:30
BT:
ST:
PST:
VMT: 41:06, 41:16","DST: 58
BT: 26
ST: 27
PST: 15
VMT: 34",20,2,4,4,34,0.85,Elita,Completed
