,EEG Filename,Video Filename,Dataset,Test Number,Condition,DST (out of 21) # of Correct Answers,BT (out of 4) # of Correct Answers,1st Mental Fatigue,1st Stress,ST # of Correct Answers,PST # of Correct Answers,VMT (out of 22) # of Correct Answers,2nd Mental Fatigue,2nd Stress,Overall ,Accuracy,Start Time,Timepoints for Incorrect Answers,Duration,ST out of (Total trials),PST out of (Total trials),DST (7) [Longest sequence correct],VMT (7) [Longest sequence correct],Overall (vary),Accuracy,Person in Charge,Completed
28,,,,,Wide,18,4,3,1,19,3,20,9,1,64,0.888888889,"DST: 18:59
BT: 20:09
ST: 45:15
PST: 45:51
VMT: 46:14","DST: 19:59, 19:59, 20:01
BT: all correct
ST: 45:23, 45:24
PST: all correct
VMT: 46:44, 46:44","DST: 63
BT: 23
ST: 25
PST: 15
VMT: 36",21,3,6,7,39,0.928571429,Elita,Completed
28,,,,,Bar,15,3,7,1,31,2,21,3,1,72,0.888888889,"DST: 14:17
BT: 15:38
ST: 41:46
PST: 42:23
VMT: 42:48","DST: 14:43, 15:14, 15:22, 15:22, 15:26, 15:29
BT: 16:03
ST: all correct
PST: all correct
VMT: 43:10","DST: 74
BT: 25
ST: 26
PST: 16
VMT: 27",31,2,4,7,47,0.921568628,Elita,Completed
29,,,,,One,,,,,,,,2,,0,0,"DST: 29:24
BT: 30:40
ST:
PST:
VMT:","DST: 29:47, 30:03, 30:05, 30:11, 30:30, 30:31, 30:33
BT:
ST:
PST:
VMT:","DST: 70
BT: 25
ST: ??
PST: ??
VMT: ??",,,5,,5,0.277777778,Nina,Incomplete Data  Set
29,,,,,Two,,,,,,,,10,,0,0,"DST: 25:21
BT:26:33
ST:
PST:
VMT:","DST: 26:20
BT: Can't read answers
ST:
PST:
VMT:","DST: 39
BT:
ST:
PST:
VMT:",,,6,,6,0.333333333,Nina,Incomplete Data  Set
29,,,,,Blue,,,,,,,,5,,0,0,"DST: 19:11
BT: 20:31
ST:
PST:
VMT:","DST: 19:52, 20:06, 20:10, 20:11
BT:Can't Read Answers
ST:
PST:
VMT:","DST: 75
BT: 36
ST:
PST:
VMT:",,,5,,5,0.277777778,Nina,Incomplete Data  Set
29,,,,,Red,,,,,,,,3,,0,0,"DST: 21:16
BT:22:31
ST:
PST:
VMT:","DST: 22:05, 22:22
BT: Can't Read Answers
ST:
PST:
VMT:","DST: 73
BT: 31
ST:
PST:
VMT:",,,5,,5,0.277777778,Nina,Incomplete Data  Set
29,,,,,Teach,,,,,,,,4,,0,0,"DST: 15:09
BT: 16:17
ST: 
PST:
VMT:","DST: 16:00, 16:10
BT:
ST:
PST:
VMT:","DST: 62
BT: 103
ST:
PST:
VMT:",,,5,,5,0.277777778,Nina,Incomplete Data  Set
29,,,,,Narrow,,,,,,,,6,,0,0,"DST: 23:16
BT:24:26
ST:
PST:
VMT:","DST: 24:04, 24:21
BT: 24:56
ST:
PST:
VMT:","DST: 65
BT: 30
ST:
PST:
VMT:",,,5,,5,0.277777778,Nina,Incomplete Data  Set
29,,,,,Green,,,,,,,,6,,0,0,"DST: 12:53
BT:14:06
ST: 32:38
PST:33:09
VMT:33:39","DST: 0:13:37, 0:13:56
BT: 0:14:32
ST: 0:34:32, 0:33:05
PST:
VMT:","DST: 54
BT:27
ST: 27
PST: 25
VMT: 39",13,2,5,7,12,0.363636364,Nina,Incomplete Data  Set
29,,,,,Wide,,,,,,,,4,,0,0,"DST: 17:10
BT: 18:25
ST:
PST:
VMT:","DST: 17:21, 18:10, 18:17
BT: Can't See Answers
ST:
PST:
VMT:","DST: 71
BT: 18:50
ST:
PST:
VMT:",,,6,,6,0.333333333,Nina,Incomplete Data  Set
29,,,,,Bar,,,,,,,,5,,0,0,"DST: 27:29
BT:28:36
ST:
PST:
VMT:","DST: 0:28:13, 0:28:29
BT:
ST:
PST:
VMT:","DST: 60
BT: 29
ST:
PST:
VMT:",,,5,,5,0.277777778,Nina,Incomplete Data  Set
30,,,,,One,20,4,3,3,24,2,16,2,3,66,0.891891892,"DST: 23:38
BT: 24:38
ST: 28:07
PST: 28:47
VMT: 29:09","DST: 24:22, 24:30
BT:
ST:
PST:
VMT: 29:14, 29:19, 29:26, 29:26, 29:37, 29:38","DST: 53
BT: 26
ST: 29
PST: 15
VMT: 30",24,2,5,0,35,0.795454546,Elita,Completed
30,,,,,Two,20,4,4,2,27,3,21,7,3,75,0.949367089,"DST: 14:54
BT: 15:46
ST: 31:30
PST: 32:07
VMT: 32:38","DST: 15:37, 15:42
BT:
ST:
PST: 32:16
VMT: 32:38","DST: 49
BT: 24
ST: 26
PST: 26
VMT: 15",27,4,5,7,46,0.93877551,Elita,Completed
30,,,,,Blue,20,4,6,3,22,1,21,2,3,68,0.931506849,"DST: 13:00
BT: 14:02
ST: 33:06
PST: 33:43
VMT: 34:05","DST: 13:48, 13:54
BT:
ST: 33:26
PST: 33:53
VMT: 34:23","DST: 55
BT: 30
ST: 26
PST: 17
VMT: 31",23,2,5,7,39,0.906976744,Elita,Completed
30,,,,,Red,20,3,5,4,13,4,20,3,3,60,0.857142857,"DST: 21:57
BT: 22:53
ST: 41:28
PST: 42:07
VMT: 42:33","DST: 22:16, 22:18
BT:
ST: 41:30, 41:30, 41:35, 41:35, 41:50
PST:
VMT: 43:02, 43:03","DST: 51
BT: 22
ST: 27
PST: 15
VMT: 30",18,4,7,7,34,0.85,Elita,Completed
30,,,,,Teach,21,3,6,4,26,3,20,4,3,73,0.924050633,"DST: 16:33
BT: 17:40
ST: 38:13
PST: 38:51
VMT: 39:14","DST: 17:32
BT: 17:46
ST:
PST: 39:02, 39:05
VMT: 39:21, 39:35","DST: 62
BT: 36
ST: 27
PST: 15
VMT: 23",26,5,6,7,45,0.918367347,Elita,Completed
30,,,,,Narrow,18,4,4,3,23,3,22,4,3,70,0.945945946,"DST: 18:38
BT: 19:38
ST: 29:54
PST: 30:31
VMT: 30:54","DST: 19:07, 19:13, 19:25, 19:30
BT:
ST:
PST:
VMT:","DST: 53
BT: 21
ST: 28
PST: 16
VMT: 23",23,3,5,7,42,0.954545455,Elita,Completed
30,,,,,Green,18,3,4,4,18,3,20,3,3,62,0.794871795,"DST: 20:20
BT: 21:14
ST: 34:51
PST: 35:19
VMT: 35:52","DST: 20:48, 20:50, 21:03, 21:08
BT:
ST: 34:54, 34:56, 34:59, 35:00, 35:08, 35:14, 35:16 
PST:
VMT: 35:55, 36:12","DST: 49
BT: 23
ST: 27
PST: 26
VMT: 24",27,3,5,7,36,0.75,Elita,Completed
30,,,,,Wide,20,4,4,2,24,5,21,3,3,74,0.961038961,"DST: 25:17
BT: 26:15
ST: 39:53
PST: 40:29
VMT: 40:51","DST: 25:59, 26:05
BT:
ST:
PST:
VMT: 40:55","DST: 50
BT: 26
ST: 25
PST: 15
VMT: 25",24,5,5,7,45,0.957446809,Elita,Completed
30,,,,,Bar,19,4,5,8,24,3,19,4,2,69,0.92,"DST: 11:10
BT: 12:09
ST: 36:36
PST: 37:14
VMT: 37:35","DST: 11:18, 11:57, 12:01
BT:
ST:
PST:
VMT: 37:39, 37:53, 37:53","DST: 52
BT: 20
ST: 26
PST: 14
VMT: 26",24,3,5,7,43,0.955555556,Elita,Completed
31,,,,,One,16,4,6,5,28,2,22,7,8,72,0.923076923,"DST: 13:23
BT: 14:29
ST: 43:35
PST: 44:12
VMT: 44:34","DST: 13:48, 14:00, 14:03, 14:22
BT: N/A
ST: N/A
PST: N/A
VMT: N/A","DST: 59
BT: 24
ST: 28
PST: 15
VMT: 25",28,2,4,7,45,0.9375,Kyra,Completed
31,,,,,Two,15,4,7,7,18,2,22,N/A,6,61,0.897058824,"DST: 23:49
BT: 24:53
ST: 28:40
PST: 29:17
VMT: 29:39","DST: 24:21, 24:22, 24:26, 24:41, 24:44
BT: N/A
ST: N/A
PST: N/A
VMT: N/A","DST: 56
BT: 25
ST: 28
PST: 15
VMT: 27",18,2,5,7,36,0.947368421,Kyra,Completed
31,,,,,Blue,12,3,6,6,25,1,22,4,6,63,0.84,"DST: 9:19
BT: 10:34
ST: 34:10
PST: 34:47
VMT: 35:09","DST: 9:58, 10:00, 10:01,
10:15, 10:17, 10:19, 10:22,
10:25
BT: 10:44
ST: N/A
PST: 34:53
VMT: N/A","DST: 66
BT: 23
ST: 27
PST: 15
VMT: 28",25,2,5,7,41,0.911111111,Kyra,Completed
31,,,,,Red,15,4,8,7,11,3,11,3,8,44,0.676923077,"DST: 25:45
BT: 26:50
ST: 36:00
PST: 36:37
VMT: 36:58","DST: 26:20, 26:32, 26:36, 26:42, 26:42
BT: N/A
ST: 36:06, 36:18
PST: 36:52
VMT: 37:20, 37:24, 37:28, 37:36, 37:37, 37:38, 37:41, 37:44, 37:48, 37:49, 37:51","DST: 59
BT: 25
ST: 27
PST: 15
VMT: 56",13,4,5,5,28,0.8,Kyra,Completed
31,,,,,Teach,15,2,7,7,16,0,22,4,6,55,0.846153846,"DST: 17:37
BT: 18:53
ST: 32:21
PST: 32:57
VMT: 33:21","DST: 18:12,18:19, 18:20, 18:40, 18:44
BT: 18:59, 19:20
ST: 32:33
PST: N/A
VMT: N/A","DST: 70
BT: 35
ST: 26
PST: 15
VMT: 26",17,0,5,7,30,0.857142857,Kyra,Completed
31,,,,,Narrow,12,4,7,6,27,4,22,2,7,69,0.873417722,"DST: 15:23
BT: 16:35
ST: 38:18
PST: 38:55
VMT: 39:18","DST: 15:35, 15:36, 16:05, 16:06, 16:19, 16:21, 16:22, 16:24
BT: N/A
ST: N/A
PST: N/A
VMT: N/A","DST: 62
BT: 26
ST: 26
PST: 15
VMT: 25",27,4,0,7,42,0.857142857,Kyra,Completed
31,,,,,Green,14,4,7,7,8,3,22,6,7,51,0.796875,"DST: 21:55
BT: 23:05
ST: 39:58
PST: 40:35
VMT: 41:00","DST: 22:33, 22:43, 22:47, 22:53, 22:53, 22:54
BT: N/A
ST: 40:04, 40:08, 40:11, 40:19, 40:21
PST: N/A
VMT: N/A","DST: 57
BT: 24
ST: 27
PST: 15
VMT: 26",13,3,5,7,27,0.794117647,Kyra,Completed
31,,,,,Wide,18,4,6,6,23,3,22,7,6,70,0.945945946,"DST: 11:31
BT: 12:33
ST: 30:29
PST: 31:05
VMT: 31:31","DST: 12:09, 12:24
BT: N/A
ST: N/A
PST: N/A
VMT: N/A","DST: 54
BT: 24
ST: 26
PST: 16
VMT: 26",23,3,5,7,42,0.954545455,Kyra,Completed
31,,,,,Bar,18,4,7,6,23,1,22,4,7,68,0.931506849,"DST: 19:58
BT: 20:58
ST: 41:46
PST: 42:23
VMT: 42:45","DST: 20:36, 20:51
BT: N/A
ST: N/A
PST: 42:36
VMT: N/A","DST: 53
BT: 28
ST: 27
PST: 15
VMT: 27",23,2,5,7,40,0.930232558,Kyra,Completed
32,,subject32 - Desktop 2018.08.26 - 16.41.01.06,,,One,18,4,4,6,21,2,22,7,8,67,0.930555556,"DST: 10:56
BT: 12:06
ST: 38:20
PST: 39:00
VMT: 39:28","DST: 11:42, 11:52, 11:58
BT: all correct
ST: all correct
PST: 39:07
VMT: all correct","DST: 62
BT: 23
ST: 27
PST: 16
VMT: 32",21,3,6,7,40,0.952380952,Elita,Completed
32,,,,,Two,15,4,7,7,15,1,22,1,7,57,0.890625,"DST: 18:43
BT: 19:49
ST: 34:45
PST: 35:21
VMT: 35:43","DST: 19:17, 19:19, 19:22, 19:32, 19:39, 19:40, 19:41
BT: all correct
ST: all correct
PST: all correct
VMT: all correct","DST: 59
BT: 25
ST: 56
PST: 15
VMT: 34",15,1,5,7,32,0.941176471,Elita,Completed
32,,,,,Blue,18,4,5,7,20,1,22,10,8,65,0.942028986,"DST: 8:50
BT: 10:03
ST: 29:03 
PST: 29:40
VMT: 30:02","DST: 9:39, 9:44, 9:51, 9:54
BT: all correct
ST: all correct
PST: all correct
VMT: all correct","DST: 67
BT: 31
ST: 26
PST: 15
VMT: 26",20,1,6,7,38,0.974358974,Elita,Completed
32,,,,,Red,19,4,5,7,18,3,22,5,8,66,0.956521739,"DST: 14:56
BT: 16:01
ST: 42:03
PST: 42:40
VMT: 43:02","DST: 15:46, 15:51, 15:52
BT: all correct
ST: all correct
PST: all correct
VMT: all correct","DST: 59
BT: 23
ST: 27
PST: 15
VMT: 31",18,3,6,7,38,0.974358974,Elita,Completed
32,,,,,Teach,20,3,5,7,21,3,22,2,8,69,0.958333333,"DST: 12:56
BT: 14:03
ST: 36:35
PST: 37:11
VMT: 37:34","DST: 13:47, 13:55
BT: 14:39
ST: all correct
PST: all correct
VMT: all correct","DST: 61
BT: 36
ST: 26
PST: 15
VMT: 26",21,3,6,7,40,0.952380952,Elita,Completed
32,,,,,Narrow,18,3,8,7,20,3,22,7,6,66,0.929577465,"DST: 20:35
BT: 21:41
ST: 27:11
PST: 27:49
VMT: 28:11","DST: 21:09, 21:09, 21:23, 21:31 
BT: 22:09
ST: all correct
PST: all correct
VMT: all correct","DST: 59
BT: 29
ST: 27
PST: 16
VMT: 33",20,3,5,7,38,0.926829268,Elita,Completed
32,,,,,Green,18,4,7,7,7,1,22,7,8,52,0.8125,"DST: 16:50
BT: 17:56
ST: 40:16
PST: 40:54
VMT: 41:16","DST: 17:38, 17:42, 17:44, 17:45
BT: all correct
ST: 40:20, 40:24, 40:31, 40:32, 40:36, 40:38
PST: 41:03, 41:05
VMT: all correct","DST: 59
BT: 22
ST: 26
PST: 15
VMT: 33",13,3,6,7,25,0.735294118,Elita,Completed
32,,,,,Wide,18,4,8,8,18,1,22,4,7,63,0.940298508,"DST: 22:31
BT: 23:34
ST: 30:44
PST: 31:26
VMT: 31:48","DST: 23:09, 23:10, 23:10, 23:21
BT: all correct
ST: all correct
PST: all correct
VMT: all correct","DST: 57
BT: 23
ST: 31:10
PST: 16
VMT: 34",18,1,5,7,35,0.945945946,Elita,Completed
32,,,,,Bar,18,2,8,8,19,2,21,10,7,62,0.898550725,"DST: 24:15
BT: 25:17
ST: 32:54
PST: 33:31
VMT: 33:53","DST: 24:32, 24:52, 25:05, 25:08
BT: 25:22, 25:45
ST: all correct
PST: all correct
VMT: 34:03","DST: 55
BT: 28
ST: 26
PST: 15
VMT: 30",19,2,6,7,36,0.923076923,Elita,Completed
33,,,,,One,17,4,3,3,21,2,20,,5,64,0.901408451,"DST: 11:06
BT: 12:13
ST: 39:20
PST: 39:58
VMT: 40:20","DST: 11:48, 12:04, 12:05, 12:06
BT: N/A
ST: N/A
PST: N/A
VMT: 40:39, 40:47","DST: 60
BT: 27
ST: 26
PST: 15
VMT: 30",21,2,5,5,37,0.902439024,Kyra,Completed
33,,,,,Two,17,4,4,4,24,1,22,,7,68,0.931506849,"DST: 21:33
BT: 22:48
ST: 41:04
PST: 41:43
VMT: 42:05","DST: 22:15, 22:19, 22:32, 22:36
BT: N/A
ST: N/A
PST: 41:52
VMT: N/A","DST: 66
BT: 34
ST: 26
PST: 15
VMT: 27",24,1,5,7,41,0.953488372,Kyra,Completed
33,,,,,Blue,14,3,5,5,25,2,18,,7,62,0.826666667,"DST: 19:24
BT: 20:27
ST: 42:46
PST: 43:24
VMT: 43:46","DST: 19:38, 19:52, 19:53, 19:55, 19:56, 20:10, 20:18
BT: 21:05
ST: N/A
PST: N/A
VMT: 44:03, 44:11, 44:14, 44:14","DST: 55
BT: 38
ST: 26
PST: 15
VMT: 30",25,2,4,5,39,0.866666667,Kyra,Completed
33,,,,,Red,16,4,5,5,13,1,22,,5,56,0.848484849,"DST: 29:08
BT: 30:13
ST: 37:36
PST: 38:13
VMT: 38:36","DST: 29:46, 29:57, 30:01, 30:04, 30:05
BT: N/A
ST: 37:38, 37:39, 37:54
PST: 38:28
VMT: N/A","DST: 58
BT: 29
ST: 26
PST: 15
VMT: 30",16,2,5,7,30,0.833333333,Kyra,Completed
33,,,,,Teach,17,3,5,5,14,1,19,,4,54,0.818181818,"DST: 17:08
BT: 18:17
ST: 32:11
PST: 32:48
VMT: 33:11","DST: 17:34, 17:36, 17:53, 18:09
BT: 18:49
ST: 32:18, 32:34
PST: 32:54
VMT: 33:32, 33:41, 33:47","DST: 62
BT: 42
ST: 36
PST: 15
VMT: 39",16,2,4,5,27,0.75,Kyra,Completed
33,,,,,Narrow,15,4,4,4,25,2,22,,7,68,0.906666667,"DST: 27:07
BT: 28:17
ST: 46:19
PST: 46:57
VMT: 47:19","DST: 27:50, 28:02, 28:03, 28:04, 28:05, 28:05 
BT: N/A
ST: N/A
PST: N/A
VMT: N/A","DST: 60
BT: 30
ST: 27
PST: 15
VMT: 27",25,2,5,7,43,0.955555556,Kyra,Completed
33,,,,,Green,16,4,5,4,10,2,22,,5,54,0.84375,"DST: 23:55
BT: 25:08
ST: 35:54
PST: 36:32
VMT: 36:55","DST: 24:38, 24:41, 24:53, 24:58, 24:59
BT: N/A
ST: 36:03, 36:07, 36:08, 36:19
PST: N/A
VMT: N/A","DST: 65
BT: 26
ST: 26
PST: 15
VMT: 26",14,2,5,7,28,0.823529412,Kyra,Completed
33,,,,,Wide,19,4,3,3,20,0,22,,5,65,0.942028986,"DST: 13:03
BT: 14:08
ST: 34:06
PST: 34:43
VMT: 35:10","DST: 13:40, 14:01
BT: N/A
ST: N/A
PST: 34:53
VMT: N/A","DST: 59
BT: 30
ST: 26
PST: 15
VMT: 26",20,1,5,7,36,0.923076923,Kyra,Completed
33,,,,,Bar,14,4,4,3,27,2,21,,7,68,0.871794872,"DST: 14:57
BT: 16:09
ST: 44:31
PST: 45:12
VMT: 45:37","DST: 15:36, 15:37, 15:49, 15:58, 15:59, 16:00, 16:01 
BT: N/A
ST: N/A
PST: 45:18
VMT: 45:55","DST: 65
BT: 25
ST: 27
PST: 16
VMT: 28",27,3,5,7,45,0.9375,Kyra,Completed
34,,,,,One,15,4,2,2,18,2,21,,3,60,0.869565217,"DST: 22:37
BT: 24:16
ST: 45:18
PST: 45:56
VMT: 46:18","DST: 23:29, 23:45, 23:51, 23:57, 24:06, 24:07
BT: N/A
ST: N/A
PST: 46:10
VMT: 46:59","DST: 92
BT: 29
ST: 27
PST: 14
VMT: 51",18,3,5,6,35,0.897435897,Jin,Completed
34,,,,,Two,13,4,1,1,15,3,13,,3,48,0.71641791,"DST: 12:57
BT: 14:33
ST: 47:26
PST: 48:06
VMT: 48:28","DST: 13:29, 13:31, 13:44, 13:45, 13:54, 14:05, 14:21, 14:24
BT: N/A
ST: N/A
PST: 48:10
VMT: 49:18, 49:22, 49:30, 49:33, 49:35, 49:38","DST: 56
BT: 30
ST: 26
PST: 15
VMT: 75",15,4,6,6,34,0.918918919,Jin,Completed
34,,,,,Blue,12,3,1,3,12,2,21,,2,50,0.746268657,"DST: 27:41
BT: 29:10
ST: 43:16
PST: 41:54
VMT: 42:16","DST: 28:04, 28:07, 28:27, 28:28, 28:32, 28:43, 28:54, 28:58, 28:59
BT: 29:16
ST: 41:23, 41:24, 41:27, 41:27
PST: 41:57
VMT: 42:32","DST: 82
BT: 31
ST: 27
PST: 16
VMT: 44",16,3,6,6,29,0.783783784,Jin,Completed
34,,,,,Red,14,3,1,1,6,2,16,,3,41,0.706896552,"DST: 15:25
BT: 17:00
ST: 36:32
PST: 37:04
VMT: 37:31","DST: 16:14, 16:15, 16:19, 16:39 16:43, 16:44, 16:48   
BT: 17:13
ST: 36:45, 36:51
PST: N/A
VMT: 38:02, 38:07","DST: 89
BT: 24
ST: 26 
PST: 21
VMT: 55",8,2,4,5,20,0.714285714,Jin,Completed
34,,,,,Teach,14,4,1,1,17,0,17,,3,52,0.753623188,"DST: 17:47
BT: 19:19
ST: 50:04
PST: 50:41
VMT: 51:05","DST: 18:15, 18:16, 18:37, 18:45, 18:56, 19:06, 19:11
BT: N/A
ST: N/A
PST: 50:47, 50:48, 50:52, 50:55
VMT: 51:35, 51:47, 51:50, 52:14, 52:16","DST: 84
BT: 37
ST: 26
PST: 15
VMT: 74",17,4,6,6,33,0.846153846,Jin,Completed
34,,,,,Narrow,12,4,2,3,18,1,22,,3,57,0.838235294,"DST: 25:16
BT: 26:52
ST: 43:17
PST: 43:55
VMT: 44:17","DST: 26:13, 26:15, 26:18, 26:29, 26:32, 26:34, 26:38, 26:43, 26:45
BT: N/A
ST: N/A
PST: 44:02
VMT: ","DST: 89
BT: 27
ST: 26
PST: 15
VMT: 61",18,2,5,7,35,0.921052632,Jin,Completed
34,,,,,Green,11,4,3,3,13,2,15,,3,45,0.681818182,"DST: 30:18
BT: 32:03
ST: 38:51
PST: 39:29
VMT: 39:51","DST: 30:52, 31:58, 31:07, 31:11, 31:16, 31: 20, 31:21, 31:24, 31:35, 31:51 
BT: N/A
ST: 39:05, 39:15, 39:15
PST: N/A
VMT: 40:05, 40:34, 40:45, 40:48, 40:49, 40:50, 40:53","DST: 99
BT: 24
ST: 26
PST: 15
VMT: 64",16,2,6,6,31,0.861111111,Jin,Completed
34,,,,,Wide,15,4,3,4,17,1,21,,3,58,0.865671642,"DST: 33:01
BT: 34:17
ST: 54:56
PST: 55:31
VMT: 55:54","DST:  33:43, 33:45, 33:55, 34:00, 34:05, 34:05 
BT: N/A
ST: N/A
PST: 55:45
VMT: 56:08","DST: 69
BT: 27
ST: 24
PST: 16
VMT: 57",17,2,5,7,34,0.918918919,Jin,Completed
34,,,,,Bar,14,4,2,2,18,1,21,,3,58,0.865671642,"DST: 20:17
BT: 21:48
ST: 52:45
PST: 53:20
VMT: 53:41","DST: 21:09, 21:20, 21:23, 21:25, 21:33, 21:34, 21:38
BT: N/A
ST: N/A
PST: N/A
VMT: 54:19","DST: 83
BT: 30
ST: 22
PST: 15
VMT: 44",18,1,6,6,35,0.945945946,Jin,Completed
35,,,,,One,18,4,4,3,29,2,22,3,3,75,0.9375,"DST: 14:13
BT: 15:16
ST: 30:22
PST: 31:00
VMT: 31:22","DST: 14:48, 14:50, 15:00, 15:08
BT: 
ST: 
PST: 31:05
VMT: ","DSP: 57
BT: 21
ST: 26
PST: 15
VMT: 25",29,3,5,7,47,0.94,Nina,Completed
35,,,,,Two,20,4,5,4,24,2,22,3,3,72,0.947368421,"DST: 10:47
BT: 11:52
ST: 28:45
PST: 29:22
VMT: 29:44","DST: 11:32, 11:42, 11:43
BT: 
ST: 28:59
PST: 29:26
VMT: ","DSP: 57
BT: 23
ST: 26
PST: 15
VMT: 25",25,3,5,7,42,0.913043478,Nina,Completed
35,,,,,Blue,14,4,4,3,28,2,21,3,4,69,0.873417722,"DST: 17:40
BT: 18:41
ST: 37:00
PST: 37:36
VMT: 37:58","DST: 18:12, 18:13, 18:14, 18:26, 18:29, 18:30, 18:31, 18:33
BT: 
ST: 37:04
PST: 
VMT: 38:16","DSP: 55
BT: 19
ST: 25
PST: 15
VMT: 30",29,2,5,7,46,0.93877551,Nina,Completed
35,,,,,Red,21,4,5,4,22,1,22,3,4,70,0.972222222,"DST: 12:34
BT: 13:32
ST: 33:45
PST: 34:22
VMT: 34:45","DST: 13:25
BT: 
ST: 
PST: 34:26
VMT: ","DSP: 52
BT: 22
ST: 26
PST: 15
VMT: 25",22,2,6,7,40,0.952380952,Nina,Completed
35,,,,,Teach,13,4,5,4,24,2,22,3,3,65,0.878378378,"DST: 8:50
BT: 10:04
ST: 27:09
PST: 27:46
VMT: 28:08","DST: 9:23, 9:27, 9:28, 9:42, 9:50, 9:51, 9:52, 9:53, 9:55
BT: 
ST: 
PST: 
VMT: ","DSP: 66
BT: 24
ST: 26
PST: 15
VMT: 23",24,2,5,7,42,0.954545455,Nina,Completed
35,,,,,Narrow,16,4,4,3,28,3,19,4,3,70,0.886075949,"DST: 15:55
BT: 17:03
ST: 25:25
PST: 26:02
VMT: 26:24","DST: 16:15, 16:16, 16:36, 16:47, 16:54, 16:55
BT: 
ST: 
PST: 
VMT: 26:42, 26:43, 26:52","DSP: 61
BT: 20
ST: 26
PST: 15
VMT: 28",28,3,4,4,43,0.87755102,Nina,Completed
35,,,,,Green,18,4,4,4,16,1,22,4,3,61,0.884057971,"DST: 19:14
BT: 20:17
ST: 38:41
PST: 39:18
VMT: 39:40","DST: 19:47, 19:48, 20:00, 20:08
BT: 
ST: 38:45, 38:47, 38:51
PST: 39:27
VMT: ","DSP: 55
BT: 21
ST: 26
PST: 15
VMT: 24",19,2,5,7,33,0.846153846,Nina,Completed
35,,,,,Wide,16,4,4,3,28,4,21,3,3,73,0.9125,"DST: 22:37
BT: 23:44
ST: 32:00
PST: 32:38
VMT: 33:00","DST: 22:58, 23:08, 23:13, 23:14, 23:26, 23:32
BT: 
ST: 
PST: 
VMT: 33:16","DSP: 57
BT: 19
ST: 26
PST: 15
VMT: 28",28,4,4,7,47,0.94,Nina,Completed
35,,,,,Bar,20,4,4,3,26,2,22,3,3,74,0.961038961,"DST: 20:59
BT: 22:00
ST: 35:25
PST: 36:01
VMT: 36:23","DST: 21:45, 21:52
BT: 
ST: 
PST: 36:14
VMT: ","DSP: 54
BT: 20
ST: 26
PST: 15
VMT: 23",26,3,5,7,44,0.936170213,Nina,Completed
36,,,,,One,17,4,1,2,22,2,22,,3,67,0.930555556,"DST: 8:26
BT: 9:35
ST: 26:37
PST: 27:15
VMT: 27:38","DST: 8:46, 8:47, 9:22, 9:24, 9:26
BT: 
ST: 
PST: 
VMT: ","DST: 61
BT: 22
ST: 25
PST: 15
VMT: 25",22,2,6,7,41,0.976190476,Jin,Completed
36,,,,,Two,13,3,2,2,27,2,22,,2,67,0.848101266,"DST: 18:06
BT: 19:16
ST: 41:14
PST: 41:53
VMT: 42:20","DST: 18:41, 18:42, 18:44, 18:45, 18:55, 18:59, 19:00, 19:01, 19:07
BT: 19:20
ST: 41:20
PST: 41:55
VMT: ","DST: 64
BT: 20 
ST: 26
PST: 14
VMT: 27",28,3,5,7,44,0.897959184,Jin,Completed
36,,,,,Blue,17,4,2,1,18,2,22,,3,63,0.9,"DST: 16:08
BT: 17:22
ST 39:25
PST: 40:02
VMT: 40:26","DST: 16:42, 16:43, 16:58, 17:04, 17:10
BT: 
ST: 39:30
PST: 40:12
VMT: ","DST: 63
BT: 21 
ST: 26
PST: 16
VMT: 25",19,3,5,7,36,0.9,Jin,Completed
36,,,,,Red,20,1,2,2,21,4,22,,2,68,0.918918919,"DST: 14:23
BT: 15:19
ST: 32:04
PST: 32:43
VMT: 33:11","DST: 15:06, 15:11
BT: 15:24, 15:36, 15:40
ST: 32:15
PST: 
VMT: ","DST: 49
BT: 22 
ST: 27
PST: 15
VMT: 23",22,4,5,7,38,0.863636364,Jin,Completed
36,,,,,Teach,18,3,1,1,26,4,22,,2,73,0.935897436,"DST: 12:27
BT: 13:25
ST: 30:16
PST: 30:55
VMT: 31:17","DST: 13:10, 13:13, 13:14, 13:17
BT: 13:54
ST: 
PST: 
VMT: ","DST: 51
BT: 35 
ST: 27
PST: 15
VMT: 25",26,4,5,7,45,0.9375,Jin,Completed
36,,,,,Narrow,20,3,3,2,27,4,22,,2,76,0.962025317,"DST: 23:46
BT: 24:49
ST: 35:42
PST: 36:20
VMT: 36:43","DST: 24:31, 24:37
BT: 24:54
ST: 
PST: 
VMT: ","DST: 55
BT: 22 
ST: 27
PST: 15
VMT: 27",27,4,5,7,46,0.93877551,Jin,Completed
36,,,,,Green,19,4,3,2,17,3,22,,2,65,0.915492958,"DST: 19:58
BT: 21:02
ST: 37:39
PST: 38:18
VMT: 38:41","DST: 20:47, 20:48, 20:53
BT: 
ST: 37:59, 38:01
PST: 
VMT: ","DST: 57
BT: 21 
ST: 26
PST: 15
VMT: 25",20,3,6,7,37,0.902439024,Jin,Completed
